PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments,
Plate 2,A,1,Maccullochella,M. peelii,B,larvae,70,
Plate 2,A,2,Maccullochella,M. peelii,B,larvae,71,
Plate 2,A,3,Maccullochella,M. peelii,B,larvae,72,
Plate 2,A,4,Maccullochella,M. peelii,B,larvae,73,
Plate 2,B,4,Maccullochella,M. peelii,B,larvae,74,
Plate 2,B,3,Maccullochella,M. peelii,B,larvae,75,
Plate 2,B,2,Maccullochella,M. peelii,B,larvae,76,
Plate 2,B,1,Maccullochella,M. peelii,N,larvae,77,
Plate 2,A,12,Maccullochella,M. peelii,N,larvae,78,
Plate 2,A,11,Maccullochella,M. peelii,N,larvae,79,
Plate 2,A,10,Maccullochella,M. peelii,T,larvae,80,
Plate 2,A,9,Maccullochella,M. peelii,T,larvae,81,
Plate 2,A,8,Maccullochella,M. peelii,T,larvae,82,
Plate 2,A,7,Maccullochella,M. peelii,T,larvae,83,
Plate 2,A,6,Maccullochella,M. peelii,T,larvae,84,
Plate 2,A,5,Maccullochella,M. peelii,T,larvae,85,
Plate 2,B,5,Maccullochella,M. peelii,T,larvae,86,
Plate 2,B,6,Maccullochella,M. peelii,T,larvae,87,
Plate 2,B,7,Maccullochella,M. peelii,T,larvae,88,
Plate 2,B,8,Maccullochella,M. peelii,T,larvae,89,
Plate 2,B,9,Maccullochella,M. peelii,T,larvae,90,
Plate 2,B,10,Maccullochella,M. peelii,T,larvae,91,
Plate 2,B,11,Maccullochella,M. peelii,T,larvae,92,
Plate 2,B,12,Maccullochella,M. peelii,T,larvae,93,
Plate 2,C,1,Maccullochella,M. peelii,T,larvae,94,
Plate 2,C,2,Maccullochella,M. peelii,L,larvae,95,
Plate 2,C,3,Maccullochella,M. peelii,L,larvae,96,
Plate 2,C,4,Maccullochella,M. peelii,L,larvae,97,
Plate 2,D,4,Maccullochella,M. peelii,L,larvae,98,
Plate 2,D,3,Maccullochella,M. peelii,L,larvae,99,
Plate 2,D,2,Maccullochella,M. peelii,M,larvae,100,
Plate 2,D,1,Maccullochella,M. peelii,M,larvae,101,
Plate 2,C,12,Maccullochella,M. peelii,M,larvae,102,
Plate 2,C,11,Maccullochella,M. peelii,M,larvae,103,
Plate 2,C,10,Maccullochella,M. peelii,M,larvae,104,
Plate 2,C,9,Maccullochella,M. peelii,M,larvae,105,
Plate 2,C,8,Maccullochella,M. peelii,M,larvae,106,
Plate 2,C,7,Maccullochella,M. peelii,M,larvae,107,
Plate 2,C,6,Maccullochella,M. peelii,K,larvae,108,
Plate 2,C,5,Maccullochella,M. peelii,K,larvae,109,
Plate 2,D,5,Maccullochella,M. peelii,K,larvae,110,
Plate 2,D,6,Maccullochella,M. peelii,K,larvae,111,
Plate 2,D,7,Maccullochella,M. peelii,B,larvae,112,
Plate 2,D,8,Maccullochella,M. peelii,B,larvae,113,
Plate 2,D,9,Maccullochella,M. peelii,B,larvae,114,
Plate 2,D,10,Maccullochella,M. peelii,B,larvae,115,
Plate 2,D,11,Maccullochella,M. peelii,B,larvae,116,
Plate 2,D,12,Maccullochella,M. peelii,B,larvae,117,
Plate 2,E,1,Maccullochella,M. peelii,B,larvae,118,
Plate 2,E,2,Maccullochella,M. peelii,B,larvae,119,
Plate 2,E,3,Maccullochella,M. peelii,B,larvae,120,
Plate 2,E,4,Maccullochella,M. peelii,B,larvae,121,
Plate 2,F,4,Maccullochella,M. peelii,B,larvae,122,
Plate 2,F,3,Maccullochella,M. peelii,B,larvae,123,
Plate 2,F,2,Maccullochella,M. peelii,B,larvae,124,
Plate 2,F,1,Maccullochella,M. peelii,B,larvae,125,
Plate 2,E,12,Maccullochella,M. peelii,B,larvae,126,
Plate 2,E,11,Maccullochella,M. peelii,T,larvae,127,
Plate 2,E,10,Maccullochella,M. peelii,T,larvae,128,
Plate 2,E,9,Maccullochella,M. peelii,T,larvae,129,
Plate 2,E,8,Maccullochella,M. peelii,T,larvae,130,
Plate 2,E,7,Maccullochella,M. peelii,T,larvae,131,
Plate 2,E,6,Maccullochella,M. peelii,T,larvae,132,
Plate 2,E,5,Maccullochella,M. peelii,L,larvae,133,
Plate 2,F,5,Maccullochella,M. peelii,B,larvae,134,
Plate 2,F,6,Maccullochella,M. peelii,M,larvae,135,
Plate 2,F,7,Maccullochella,M. peelii,M,larvae,136,
Plate 2,F,8,Maccullochella,M. peelii,M,larvae,137,
Plate 2,F,9,Maccullochella,M. peelii,M,larvae,138,
Plate 2,F,10,Maccullochella,M. peelii,L,larvae,139,
Plate 2,F,11,Maccullochella,M. peelii,L,larvae,140,
Plate 2,F,12,Maccullochella,M. peelii,L,larvae,141,
Plate 2,G,1,Maccullochella,M. peelii,L,larvae,142,
Plate 2,G,2,Maccullochella,M. peelii,T,larvae,143,
Plate 2,G,3,Maccullochella,M. peelii,T,larvae,145,
Plate 2,H,4,Maccullochella,M. peelii,T,larvae,146,
Plate 2,H,3,Maccullochella,M. peelii,N,larvae,147,
