Label,Missing,Cluster1,Cluster2,Cluster3
185,0,0.009,0.03,0.961
186,0,0.019,0.059,0.922
187,0,0.01,0.049,0.941
188,0,0.013,0.068,0.919
189,0,0.034,0.035,0.931
190,0,0.009,0.028,0.963
191,0,0.07,0.507,0.423
192,0,0.026,0.188,0.786
193,0,0.062,0.427,0.511
194,0,0.066,0.024,0.909
195,0,0.024,0.161,0.815
196,0,0.031,0.555,0.414
197,0,0.057,0.167,0.776
198,-1,0.037,0.504,0.459
199,-1,0.036,0.019,0.945
200,0,0.014,0.041,0.945
201,0,0.012,0.095,0.893
202,0,0.024,0.196,0.78
203,0,0.029,0.198,0.772
204,0,0.014,0.078,0.908
205,0,0.031,0.063,0.906
206,0,0.038,0.517,0.445
207,0,0.04,0.571,0.39
208,0,0.068,0.431,0.501
209,-1,0.032,0.75,0.218
210,0,0.035,0.599,0.366
211,0,0.076,0.244,0.68
212,-1,0.086,0.127,0.787
213,0,0.008,0.611,0.381
214,0,0.045,0.348,0.606
215,0,0.052,0.739,0.209
216,0,0.044,0.333,0.623
217,0,0.056,0.616,0.327
218,0,0.044,0.81,0.147
219,0,0.066,0.32,0.615
220,-1,0.029,0.522,0.449
223,0,0.091,0.128,0.781
224,-1,0.015,0.703,0.282
225,0,0.183,0.506,0.311
226,0,0.043,0.924,0.033
227,0,0.102,0.686,0.211
228,-1,0.062,0.422,0.516
229,0,0.022,0.284,0.694
230,0,0.023,0.02,0.957
231,-1,0.028,0.027,0.945
232,-1,0.044,0.68,0.276
233,0,0.09,0.46,0.45
234,0,0.025,0.37,0.605
235,0,0.035,0.232,0.732
236,-1,0.018,0.748,0.234
237,-1,0.125,0.764,0.111
238,0,0.045,0.277,0.678
239,0,0.11,0.391,0.499
240,0,0.087,0.292,0.621
241,0,0.031,0.035,0.934
242,-1,0.12,0.606,0.274
244,-1,0.145,0.587,0.268
245,0,0.089,0.263,0.649
246,0,0.061,0.446,0.493
247,0,0.058,0.575,0.366
250,0,0.055,0.859,0.086
254,0,0.172,0.559,0.269
255,0,0.118,0.657,0.225
256,0,0.129,0.423,0.448
257,0,0.135,0.398,0.467
258,0,0.037,0.32,0.643
259,0,0.038,0.28,0.681
260,0,0.059,0.228,0.713
261,0,0.028,0.586,0.386
263,0,0.029,0.519,0.451
264,0,0.055,0.11,0.834
265,0,0.036,0.258,0.706
266,0,0.091,0.135,0.774
267,0,0.01,0.682,0.308
268,0,0.187,0.595,0.218
270,0,0.046,0.269,0.685
271,0,0.046,0.121,0.834
272,0,0.067,0.335,0.599
273,-1,0.031,0.92,0.048
274,0,0.03,0.192,0.779
275,0,0.013,0.312,0.675
276,0,0.02,0.52,0.46
277,0,0.018,0.281,0.7
278,0,0.036,0.356,0.608
279,0,0.042,0.214,0.744
280,0,0.017,0.526,0.457
222,0,0.029,0.256,0.715
70,0,0.047,0.318,0.635
71,0,0.137,0.06,0.804
72,0,0.088,0.161,0.75
73,0,0.107,0.466,0.426
76,0,0.542,0.088,0.369
75,0,0.21,0.262,0.528
74,0,0.34,0.317,0.343
115,0,0.282,0.335,0.383
116,0,0.207,0.384,0.409
117,0,0.113,0.224,0.663
112,0,0.45,0.184,0.366
113,0,0.183,0.434,0.382
114,0,0.087,0.413,0.5
118,0,0.129,0.213,0.658
126,0,0.26,0.377,0.362
119,0,0.313,0.331,0.356
120,0,0.099,0.239,0.662
121,0,0.15,0.255,0.595
125,0,0.329,0.195,0.476
124,0,0.385,0.17,0.444
123,0,0.332,0.236,0.432
122,0,0.202,0.252,0.546
134,0,0.353,0.108,0.539
151,0,0.164,0.256,0.58
157,0,0.05,0.463,0.487
156,0,0.098,0.164,0.738
155,0,0.103,0.051,0.845
154,0,0.019,0.073,0.908
153,0,0.099,0.3,0.601
152,0,0.047,0.046,0.908
158,-1,0.202,0.338,0.459
159,0,0.15,0.326,0.523
373,0,0.49,0.326,0.184
109,-1,0.384,0.324,0.292
108,0,0.326,0.383,0.29
110,0,0.093,0.5,0.407
111,0,0.092,0.456,0.452
182,0,0.077,0.096,0.827
183,0,0.07,0.414,0.516
95,0,0.385,0.282,0.333
96,0,0.157,0.385,0.458
97,0,0.147,0.349,0.505
99,0,0.219,0.723,0.058
98,0,0.101,0.553,0.346
133,0,0.175,0.755,0.07
139,-1,0.065,0.354,0.581
140,0,0.041,0.938,0.021
142,0,0.068,0.399,0.534
176,0,0.095,0.685,0.219
368,0,0.333,0.406,0.261
369,0,0.241,0.576,0.183
357,0,0.099,0.695,0.206
370,0,0.151,0.694,0.155
371,0,0.378,0.504,0.118
372,0,0.353,0.581,0.065
104,0,0.278,0.666,0.055
103,0,0.179,0.66,0.161
107,0,0.241,0.677,0.082
105,0,0.095,0.865,0.039
101,0,0.276,0.43,0.294
100,0,0.548,0.146,0.306
135,0,0.135,0.274,0.591
136,0,0.16,0.078,0.761
137,0,0.153,0.787,0.06
138,0,0.302,0.085,0.613
184,0,0.171,0.6,0.229
367,0,0.085,0.356,0.559
365,0,0.112,0.504,0.384
374,0,0.467,0.366,0.167
375,0,0.171,0.704,0.125
376,0,0.236,0.652,0.113
377,0,0.493,0.319,0.188
79,0,0.147,0.568,0.285
78,0,0.274,0.358,0.368
77,0,0.294,0.364,0.342
150,0,0.076,0.264,0.659
149,0,0.264,0.223,0.513
163,0,0.341,0.127,0.531
164,0,0.096,0.292,0.611
148,0,0.385,0.126,0.489
147,0,0.489,0.166,0.346
160,0,0.036,0.091,0.873
161,0,0.039,0.162,0.799
162,0,0.06,0.099,0.841
165,0,0.052,0.171,0.778
175,0,0.556,0.138,0.306
174,0,0.449,0.226,0.325
166,0,0.333,0.338,0.328
167,0,0.236,0.12,0.643
168,0,0.065,0.562,0.373
169,0,0.217,0.229,0.554
181,0,0.034,0.558,0.408
173,0,0.441,0.062,0.497
290,0,0.26,0.212,0.527
292,0,0.29,0.239,0.471
172,0,0.199,0.201,0.6
171,0,0.479,0.163,0.359
170,0,0.041,0.484,0.476
293,0,0.209,0.27,0.521
333,0,0.326,0.19,0.485
335,0,0.032,0.228,0.74
337,0,0.036,0.326,0.637
323,0,0.185,0.305,0.51
324,0,0.262,0.255,0.482
327,0,0.122,0.39,0.488
80,0,0.018,0.965,0.017
85,0,0.015,0.948,0.037
84,0,0.019,0.959,0.022
83,0,0.016,0.941,0.043
82,0,0.162,0.799,0.039
81,0,0.009,0.968,0.023
91,0,0.021,0.957,0.022
92,0,0.01,0.968,0.022
93,0,0.019,0.957,0.024
86,0,0.017,0.945,0.039
87,0,0.007,0.977,0.016
88,0,0.007,0.979,0.015
89,0,0.013,0.974,0.013
90,0,0.008,0.969,0.023
94,0,0.082,0.896,0.022
128,-1,0.189,0.774,0.038
127,-1,0.179,0.741,0.08
132,-1,0.146,0.786,0.068
131,0,0.337,0.592,0.07
130,-2,0.133,0.823,0.044
129,0,0.218,0.361,0.421
143,0,0.412,0.187,0.401
146,0,0.332,0.465,0.203
179,0,0.06,0.847,0.093
284,0,0.181,0.084,0.735
282,0,0.229,0.072,0.698
315,0,0.513,0.165,0.322
317,0,0.12,0.32,0.56
319,0,0.168,0.285,0.547
296,0,0.258,0.586,0.156
297,0,0.418,0.236,0.346
298,0,0.166,0.247,0.587
300,0,0.516,0.114,0.37
303,0,0.302,0.498,0.2
304,0,0.391,0.213,0.397
320,0,0.173,0.359,0.468
321,0,0.188,0.358,0.454
322,0,0.138,0.365,0.498
329,0,0.511,0.198,0.291
330,0,0.533,0.199,0.268
339,0,0.085,0.887,0.028
341,0,0.09,0.88,0.03
342,0,0.075,0.868,0.057
348,0,0.169,0.462,0.369
349,0,0.284,0.587,0.129
351,0,0.253,0.347,0.4
A21,-33,0.042,0.755,0.203
A22,-7,0.027,0.066,0.908
A23,0,0.018,0.031,0.951
A24,-17,0.039,0.477,0.484
A37,-2,0.03,0.014,0.956
A29,-19,0.018,0.048,0.934
A30,-15,0.042,0.456,0.501
A31,0,0.062,0.572,0.365
A38,-22,0.015,0.446,0.539
A47,-33,0.055,0.177,0.767
A39,-7,0.03,0.216,0.754
A40,-15,0.073,0.153,0.774
A41,-2,0.025,0.394,0.58
A42,0,0.081,0.076,0.843
A43,-21,0.106,0.834,0.06
A44,-14,0.02,0.32,0.66
A45,-7,0.022,0.361,0.617
A46,-30,0.025,0.374,0.601
A26,0,0.036,0.572,0.392
A36,-35,0.045,0.183,0.772
A33,-11,0.024,0.585,0.391
A34,-23,0.061,0.528,0.41
A35,-15,0.021,0.298,0.681
A48,-8,0.077,0.308,0.615
A28,-1,0.172,0.632,0.196
