id,pop
185,Pop_185
186,Pop_186
187,Pop_187
188,Pop_188
189,Pop_189
190,Pop_190
191,Pop_191
192,Pop_192
193,Pop_193
194,Pop_194
195,Pop_195
196,Pop_196
197,Pop_197
198,Pop_198
199,Pop_199
200,Pop_200
201,Pop_201
202,Pop_202
203,Pop_203
204,Pop_204
205,Pop_205
206,Pop_206
207,Pop_207
208,Pop_208
209,Pop_209
210,Pop_210
211,Pop_211
212,Pop_212
213,Pop_213
214,Pop_214
215,Pop_215
216,Pop_216
217,Pop_217
218,Pop_218
219,Pop_219
220,Pop_220
223,Pop_223
224,Pop_224
225,Pop_225
226,Pop_226
227,Pop_227
228,Pop_228
229,Pop_229
230,Pop_230
231,Pop_231
232,Pop_232
233,Pop_233
234,Pop_234
235,Pop_235
236,Pop_236
237,Pop_237
238,Pop_238
239,Pop_239
240,Pop_240
241,Pop_241
242,Pop_242
243,Pop_243
244,Pop_244
245,Pop_245
246,Pop_246
247,Pop_247
248,Pop_248
249,Pop_249
250,Pop_250
251,Pop_251
252,Pop_252
253,Pop_253
254,Pop_254
255,Pop_255
256,Pop_256
257,Pop_257
258,Pop_258
259,Pop_259
260,Pop_260
261,Pop_261
262,Pop_262
263,Pop_263
264,Pop_264
265,Pop_265
266,Pop_266
267,Pop_267
268,Pop_268
269,Pop_269
270,Pop_270
271,Pop_271
272,Pop_272
273,Pop_273
274,Pop_274
275,Pop_275
276,Pop_276
277,Pop_277
278,Pop_278
279,Pop_279
280,Pop_280
221,Pop_221
222,Pop_222
70,Pop_70
71,Pop_71
72,Pop_72
73,Pop_73
76,Pop_76
75,Pop_75
74,Pop_74
115,Pop_115
116,Pop_116
117,Pop_117
112,Pop_112
113,Pop_113
114,Pop_114
118,Pop_118
126,Pop_126
119,Pop_119
120,Pop_120
121,Pop_121
125,Pop_125
124,Pop_124
123,Pop_123
122,Pop_122
134,Pop_134
151,Pop_151
157,Pop_157
156,Pop_156
155,Pop_155
154,Pop_154
153,Pop_153
152,Pop_152
158,Pop_158
159,Pop_159
A21,Pop_A21
A22,Pop_A22
A23,Pop_A23
373,Pop_373
A24,Pop_A24
A37,Pop_A37
A29,Pop_A29
A30,Pop_A30
A31,Pop_A31
A38,Pop_A38
A47,Pop_A47
A39,Pop_A39
A40,Pop_A40
A41,Pop_A41
A42,Pop_A42
A43,Pop_A43
A44,Pop_A44
A45,Pop_A45
A46,Pop_A46
Bendora20130408,Pop_Bend
109,Pop_109
108,Pop_108
110,Pop_110
111,Pop_111
182,Pop_182
183,Pop_183
A26,Pop_A26
95,Pop_95
96,Pop_96
97,Pop_97
99,Pop_99
98,Pop_98
133,Pop_133
139,Pop_139
140,Pop_140
141,Pop_141
142,Pop_142
176,Pop_176
177,Pop_177
368,Pop_368
369,Pop_369
357,Pop_357
370,Pop_370
371,Pop_371
372,Pop_372
104,Pop_104
103,Pop_103
102,Pop_102
107,Pop_107
106,Pop_106
105,Pop_105
101,Pop_101
100,Pop_100
135,Pop_135
136,Pop_136
137,Pop_137
138,Pop_138
184,Pop_184
367,Pop_367
365,Pop_365
366,Pop_366
374,Pop_374
375,Pop_375
376,Pop_376
377,Pop_377
79,Pop_79
78,Pop_78
77,Pop_77
150,Pop_150
149,Pop_149
163,Pop_163
164,Pop_164
148,Pop_148
147,Pop_147
160,Pop_160
161,Pop_161
162,Pop_162
165,Pop_165
175,Pop_175
174,Pop_174
166,Pop_166
167,Pop_167
168,Pop_168
169,Pop_169
181,Pop_181
173,Pop_173
290,Pop_290
292,Pop_292
172,Pop_172
171,Pop_171
170,Pop_170
293,Pop_293
333,Pop_333
335,Pop_335
337,Pop_337
323,Pop_323
324,Pop_324
327,Pop_327
A36,Pop_A36
A33,Pop_A33
A34,Pop_A34
A35,Pop_A35
A48,Pop_A48
Narranderah,Pop_Narra
80,Pop_80
85,Pop_85
84,Pop_84
83,Pop_83
82,Pop_82
81,Pop_81
91,Pop_91
92,Pop_92
93,Pop_93
86,Pop_86
87,Pop_87
88,Pop_88
89,Pop_89
90,Pop_90
94,Pop_94
128,Pop_128
127,Pop_127
132,Pop_132
131,Pop_131
130,Pop_130
129,Pop_129
143,Pop_143
145,Pop_145
146,Pop_146
179,Pop_179
178,Pop_178
284,Pop_284
282,Pop_282
283,Pop_283
315,Pop_315
317,Pop_317
319,Pop_319
296,Pop_296
297,Pop_297
298,Pop_298
300,Pop_300
302,Pop_302
303,Pop_303
304,Pop_304
314,Pop_314
320,Pop_320
321,Pop_321
322,Pop_322
329,Pop_329
330,Pop_330
332,Pop_332
339,Pop_339
341,Pop_341
342,Pop_342
348,Pop_348
349,Pop_349
351,Pop_351
A28,Pop_A28
