"id","pop","lat","lon","two","three","yo"
76,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
75,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
74,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
73,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
72,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
70,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
71,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
79,"Nerreman",-35.29,148.96,"Bottom","Lower",2011
78,"Nerreman",-35.29,148.96,"Bottom","Lower",2011
77,"Nerreman",-35.29,148.96,"Bottom","Lower",2011
93,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
80,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
94,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
92,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
91,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
90,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
89,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
88,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
86,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
85,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
84,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
83,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
82,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
81,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
87,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2011
97,"Lanyon",-35.47,149.06,"Top","Upper",2011
95,"Lanyon",-35.47,149.06,"Top","Upper",2011
98,"Lanyon",-35.47,149.06,"Top","Upper",2011
96,"Lanyon",-35.47,149.06,"Top","Upper",2011
99,"Lanyon",-35.47,149.06,"Top","Upper",2011
100,"Murramore",-35.43,149.07,"Top","Middle",2011
101,"Murramore",-35.43,149.07,"Top","Middle",2011
102,"Murramore",-35.43,149.07,"Top","Middle",2011
103,"Murramore",-35.43,149.07,"Top","Middle",2011
104,"Murramore",-35.43,149.07,"Top","Middle",2011
106,"Murramore",-35.43,149.07,"Top","Middle",2011
107,"Murramore",-35.43,149.07,"Top","Middle",2011
108,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2011
111,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2011
110,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2011
109,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2011
118,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
126,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
125,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
124,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
123,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
122,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
121,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
119,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
117,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
116,"Bullen Range",-35.37,148.98,"Bottom","Lower",2011
