id,pop,YearOnly,hatchDoY,lat,lon,Site Name,catchDoY,estimatedAge
70,M. peelii,2011,295.771096,-35.37,148.98,Bullen Range,314,12.13
71,M. peelii,2011,295.9869064,-35.37,148.98,Bullen Range,314,11.91
72,M. peelii,2011,296.1667484,-35.37,148.98,Bullen Range,314,11.73
73,M. peelii,2011,295.2675385,-35.37,148.98,Bullen Range,314,12.63
74,M. peelii,2011,295.8070644,-35.37,148.98,Bullen Range,314,12.09
75,M. peelii,2011,295.2675385,-35.37,148.98,Bullen Range,314,12.63
76,M. peelii,2011,295.6272224,-35.37,148.98,Bullen Range,314,12.27
77,M. peelii,2011,300.8008904,-35.29,148.96,Nerreman,319,12.45
78,M. peelii,2011,300.4412065,-35.29,148.96,Nerreman,319,12.81
79,M. peelii,2011,302.2396264,-35.29,148.96,Nerreman,319,11.01
80,M. peelii,2011,300.3144725,-35.52,149.07,Tharwa Sandwash,320,13.17
81,M. peelii,2011,300.4943145,-35.52,149.07,Tharwa Sandwash,320,12.99
82,M. peelii,2011,299.7749465,-35.52,149.07,Tharwa Sandwash,320,13.71
83,M. peelii,2011,300.6741565,-35.52,149.07,Tharwa Sandwash,320,12.81
84,M. peelii,2011,300.4943145,-35.52,149.07,Tharwa Sandwash,320,12.99
85,M. peelii,2011,300.6741565,-35.52,149.07,Tharwa Sandwash,320,12.81
86,M. peelii,2011,300.1346305,-35.52,149.07,Tharwa Sandwash,320,13.35
87,M. peelii,2011,300.4943145,-35.52,149.07,Tharwa Sandwash,320,12.99
88,M. peelii,2011,300.2245515,-35.52,149.07,Tharwa Sandwash,320,13.26
89,M. peelii,2011,300.3144725,-35.52,149.07,Tharwa Sandwash,320,13.17
90,M. peelii,2011,300.4943145,-35.52,149.07,Tharwa Sandwash,320,12.99
91,M. peelii,2011,299.5951045,-35.52,149.07,Tharwa Sandwash,320,13.89
92,M. peelii,2011,301.0338404,-35.52,149.07,Tharwa Sandwash,320,12.45
93,M. peelii,2011,300.1346305,-35.52,149.07,Tharwa Sandwash,320,13.35
94,M. peelii,2011,300.6741565,-35.52,149.07,Tharwa Sandwash,320,12.81
95,M. peelii,2011,300.6753925,-35.47,149.06,Lanyon,321,14.07
96,M. peelii,2011,300.0459456,-35.47,149.06,Lanyon,321,14.7
97,M. peelii,2011,299.2366566,-35.47,149.06,Lanyon,321,15.51
98,M. peelii,2011,297.9777627,-35.47,149.06,Lanyon,321,16.77
99,M. peelii,2011,298.6971307,-35.47,149.06,Lanyon,321,16.05
100,M. peelii,2011,309.1240043,-35.43,149.07,Murramore,326,9.39
101,M. peelii,2011,309.8433722,-35.43,149.07,Murramore,326,8.67
102,F2 Hybrid,2011,310.2030562,-35.43,149.07,Murramore,326,8.32
103,M. peelii,2011,297.434275,-35.43,149.07,Murramore,326,21.08
104,M. peelii,2011,308.7643203,-35.43,149.07,Murramore,326,9.75
105,M. peelii,2011,318.9451384,-35.43,149.07,Murramore,340,11.73
106,F2BX Hybrid,2011,309.3038462,-35.43,149.07,Murramore,326,9.21
107,M. peelii,2011,309.6635302,-35.43,149.07,Murramore,326,8.85
108,M. peelii,2011,306.3475705,-35.4,149.01,Kambah Pool,327,13.35
109,M. peelii,2011,306.2396653,-35.4,149.01,Kambah Pool,327,13.46
110,M. peelii,2011,306.0598233,-35.4,149.01,Kambah Pool,327,13.64
111,M. peelii,2011,309.0631845,-35.4,149.01,Kambah Pool,327,10.64
112,M. peelii,2011,310.0044363,-35.37,148.98,Bullen Range,328,10.11
113,M. peelii,2011,308.5657004,-35.37,148.98,Bullen Range,328,11.55
114,M. peelii,2011,305.7421812,-35.37,148.98,Bullen Range,328,14.38
115,M. peelii,2011,307.8463324,-35.37,148.98,Bullen Range,328,12.27
116,M. peelii,2011,309.1052264,-35.37,148.98,Bullen Range,328,11.01
117,M. peelii,2011,306.7672805,-35.37,148.98,Bullen Range,328,13.35
118,M. peelii,2011,310.5439623,-35.37,148.98,Bullen Range,328,9.57
119,M. peelii,2011,308.5657004,-35.37,148.98,Bullen Range,328,11.55
120,M. peelii,2011,309.2850683,-35.37,148.98,Bullen Range,328,10.83
121,M. peelii,2011,309.4649103,-35.37,148.98,Bullen Range,328,10.65
122,M. peelii,2011,308.5657004,-35.37,148.98,Bullen Range,328,11.55
123,M. peelii,2011,308.2060164,-35.37,148.98,Bullen Range,328,11.91
124,M. peelii,2011,306.0479125,-35.37,148.98,Bullen Range,328,14.07
125,M. peelii,2011,308.7455424,-35.37,148.98,Bullen Range,328,11.37
126,M. peelii,2011,308.9253844,-35.37,148.98,Bullen Range,328,11.19
127,M. peelii,2011,315.3124964,-35.52,149.07,Tharwa Sandwash,333,11.01
128,M. peelii,2011,314.5931284,-35.52,149.07,Tharwa Sandwash,333,11.73
129,M. peelii,2011,310.4567627,-35.52,149.07,Tharwa Sandwash,333,15.87
130,M. peelii,2011,313.8737604,-35.52,149.07,Tharwa Sandwash,333,12.45
131,M. peelii,2011,314.7729704,-35.52,149.07,Tharwa Sandwash,333,11.55
132,M. peelii,2011,314.5931284,-35.52,149.07,Tharwa Sandwash,333,11.73
133,M. peelii,2011,319.1178183,-35.47,149.06,Lanyon,339,10.83
134,M. peelii,2012,314.0450081,-35.37,148.98,Bullen Range,331,11.35
135,M. peelii,2012,306.8772581,-35.43,149.07,Murramore,326,11.35
136,M. peelii,2012,307.507775,-35.43,149.07,Murramore,326,10.72
137,M. peelii,2012,309.1891535,-35.43,149.07,Murramore,326,9.04
138,M. peelii,2012,306.141655,-35.43,149.07,Murramore,326,12.09
