"pair.no","ind1.id","ind2.id","group","trioml","wang","lynchli","lynchrd","ritland","quellergt","dyadml"
"1",1,"185","186","1818",0.4569,0.4867,0.4872,0.447,0.4122,0.4976,0.4614
"2",2,"185","187","1818",0.4922,0.4797,0.4856,0.4945,0.478,0.5177,0.4952
"3",3,"185","188","1818",0.3061,0.3224,0.3297,0.3135,0.2933,0.3529,0.3124
"4",4,"185","189","1818",0.4563,0.463,0.4669,0.4854,0.4852,0.5011,0.4607
"5",5,"185","190","1819",0.4634,0.4776,0.4825,0.4545,0.4142,0.4925,0.4671
"6",6,"185","191","1819",0,0.0224,0.0273,-0.0412,-0.0376,0.0246,0
"7",7,"185","192","1819",0.1938,0.2024,0.2081,0.1713,0.1591,0.2308,0.1938
"8",8,"185","193","1819",0.0375,0.0681,0.0722,0.017,0.0157,0.0799,0.0375
"9",9,"185","194","1819",0.0956,0.0499,0.0554,0.101,0.1029,0.1214,0.1009
"10",10,"185","195","1819",0.1528,0.1477,0.1562,0.1521,0.1448,0.201,0.1602
"11",11,"185","196","1819",0.0443,0.0459,0.0522,-0.0353,-0.0314,0.0485,0.0443
"12",12,"185","197","1819",0.1197,0.1304,0.1338,0.0765,0.0704,0.1431,0.1214
"13",13,"185","198","1819",0.0362,-0.0472,-0.0408,-0.0048,-0.0048,0.064,0.0362
"14",14,"185","199","1819",0.1361,0.0921,0.0987,0.1515,0.1552,0.1812,0.1417
"15",15,"185","200","1820",0.3881,0.4099,0.4156,0.4129,0.3935,0.4399,0.3918
"16",16,"185","201","1820",0.4115,0.4376,0.4408,0.4124,0.3819,0.4586,0.4132
"17",17,"185","202","1820",0.0172,-0.0375,-0.0288,-0.0105,-0.0103,0.066,0.0172
"18",18,"185","203","1820",0.0295,-0.0323,-0.0226,-0.0194,-0.0186,0.0509,0.0295
"19",19,"185","204","1820",0.3706,0.415,0.4201,0.3572,0.307,0.405,0.3727
"20",20,"185","205","1820",0.4276,0.4383,0.4417,0.4274,0.407,0.4589,0.4314
"21",21,"185","206","1820",0.059,0.0194,0.0245,0.0567,0.0572,0.1157,0.059
"22",22,"185","207","1820",0,-0.0083,-0.0067,-0.047,-0.0449,0.0429,0
"23",23,"185","208","1820",0,-0.0634,-0.06,-0.0621,-0.061,-0.0106,0
"24",24,"185","209","1820",0,-0.0803,-0.0722,-0.1145,-0.1066,-0.04,0
"25",25,"185","210","1821",0.0232,0.0043,0.0062,-0.0273,-0.0262,0.0388,0.0232
"26",26,"185","211","1821",0.0421,0.0802,0.0837,0.0402,0.0377,0.1148,0.0424
"27",27,"185","212","1821",0,-0.0052,-5e-04,-0.0145,-0.014,0.0349,0
"28",28,"185","213","1821",0,-0.1227,-0.1129,-0.0151,-0.0158,0.0653,0
"29",29,"185","214","1821",0.0097,0.0125,0.0172,0.0097,0.0094,0.0734,0.0097
"30",30,"185","215","1821",0,-0.0278,-0.0226,-0.0434,-0.0417,0.0198,0
"31",31,"185","216","1821",0.1148,0.1298,0.1348,0.0822,0.0758,0.1532,0.1198
"32",32,"185","217","1821",0.0077,0.0556,0.0592,0.0018,0.0017,0.0661,0.0077
"33",33,"185","218","1821",0,-0.0054,1e-04,-0.039,-0.0365,0.049,0
"34",34,"185","219","1821",0.0191,0.0903,0.0935,0.0167,0.0152,0.0987,0.0191
"35",35,"185","220","1822",0.0889,0.0379,0.0435,0.0828,0.0837,0.1415,0.0889
"36",36,"185","223","1822",0.1894,0.2095,0.2127,0.18,0.1698,0.2277,0.1894
"37",37,"185","224","1822",0,-0.1211,-0.1163,-0.044,-0.0457,0.0439,0
