pair.no,source,target,type,group,trioml,wang,lynchli,lynchrd,ritland,quellergt,dyadml
1,185,186,Undirected,1818,0.4619,0.4901,0.491,0.4502,0.4125,0.5017,0.4637
2,185,187,Undirected,1818,0.4937,0.4835,0.4894,0.4965,0.4787,0.5219,0.4971
3,185,188,Undirected,1818,0.3104,0.3273,0.3346,0.3163,0.2947,0.3581,0.3144
4,185,189,Undirected,1818,0.4589,0.4665,0.4708,0.4862,0.482,0.5046,0.4623
5,185,190,Undirected,1819,0.4679,0.4814,0.4863,0.4579,0.4168,0.4975,0.4702
6,185,191,Undirected,1819,0,0.029,0.0345,-0.0374,-0.0339,0.0327,0
7,185,192,Undirected,1819,0.2009,0.2081,0.214,0.1785,0.1657,0.2389,0.2009
8,185,193,Undirected,1819,0.0389,0.0749,0.0791,0.0197,0.0182,0.0875,0.0389
9,185,194,Undirected,1819,0.0983,0.0568,0.0623,0.1053,0.107,0.1295,0.1048
10,185,195,Undirected,1819,0.1602,0.154,0.1625,0.155,0.1471,0.208,0.164
11,185,196,Undirected,1819,0.0477,0.0532,0.0592,-0.0304,-0.027,0.0579,0.0477
12,185,197,Undirected,1819,0.1228,0.1368,0.1402,0.0847,0.0781,0.1531,0.1273
13,185,198,Undirected,1819,0.0407,-0.0395,-0.033,-4.00E-04,-4.00E-04,0.072,0.0407
14,185,199,Undirected,1819,0.1375,0.0987,0.1053,0.1555,0.1588,0.1884,0.1455
15,185,200,Undirected,1820,0.3899,0.4141,0.4199,0.4141,0.392,0.4443,0.3947
16,185,201,Undirected,1820,0.4105,0.4416,0.4449,0.4143,0.3815,0.4628,0.4154
17,185,202,Undirected,1820,0.0245,-0.0296,-0.0212,0,0,0.077,0.0245
18,185,203,Undirected,1820,0.0347,-0.0248,-0.0151,-0.0101,-0.0098,0.061,0.0347
19,185,204,Undirected,1820,0.3725,0.4193,0.4244,0.3598,0.3078,0.4105,0.3759
20,185,205,Undirected,1820,0.4313,0.4422,0.4458,0.4302,0.4074,0.4636,0.4339
21,185,206,Undirected,1820,0.0624,0.0264,0.0317,0.0601,0.0604,0.1229,0.0624
22,185,207,Undirected,1820,0,-7.00E-04,7.00E-04,-0.0421,-0.0401,0.0517,0
23,185,208,Undirected,1820,0,-0.0553,-0.0522,-0.0591,-0.0579,-0.0018,0
24,185,209,Undirected,1820,0,-0.0724,-0.0642,-0.1107,-0.1026,-0.0311,0
25,185,210,Undirected,1821,0.0269,0.012,0.0136,-0.0229,-0.022,0.0479,0.0269
26,185,211,Undirected,1821,0.0488,0.0867,0.0905,0.0465,0.0435,0.1235,0.0486
27,185,212,Undirected,1821,0,0.0021,0.0068,-0.0086,-0.0083,0.0444,0
28,185,213,Undirected,1821,0,-0.1139,-0.1046,-0.0074,-0.0077,0.0743,0
29,185,214,Undirected,1821,0.015,0.02,0.0245,0.0149,0.0144,0.0825,0.015
30,185,215,Undirected,1821,0,-0.0199,-0.0151,-0.0411,-0.0394,0.0282,0
31,185,216,Undirected,1821,0.1191,0.1362,0.1412,0.087,0.0801,0.1614,0.1233
32,185,217,Undirected,1821,0.0102,0.0628,0.0662,0.0046,0.0042,0.0747,0.0102
33,185,218,Undirected,1821,0,0.0023,0.0075,-0.0358,-0.0334,0.0575,0
34,185,219,Undirected,1821,0.0251,0.0969,0.1002,0.0219,0.0198,0.1073,0.0251
35,185,220,Undirected,1822,0.0924,0.0453,0.0505,0.0858,0.0864,0.1489,0.0924
36,185,223,Undirected,1822,0.1934,0.2157,0.2185,0.1832,0.1725,0.2352,0.1934
37,185,224,Undirected,1822,0,-0.1126,-0.1079,-0.0375,-0.039,0.0529,0
38,185,225,Undirected,1822,0,-0.081,-0.0803,-0.0783,-0.078,-0.0177,0
39,185,226,Undirected,1822,0,-0.1164,-0.1113,-0.1158,-0.1129,-0.0258,0
40,185,227,Undirected,1822,0,-0.0415,-0.0423,-0.0742,-0.0725,0.0077,0
41,185,228,Undirected,1822,0,-0.0843,-0.079,-0.1216,-0.1147,-0.0234,0
42,185,229,Undirected,1822,0.1212,0.1992,0.2022,0.1206,0.1074,0.2038,0.1285
43,185,230,Undirected,1823,0.1923,0.1759,0.1822,0.1876,0.1821,0.2278,0.1953
44,185,231,Undirected,1823,0.1559,0.05,0.052,0.1724,0.1887,0.2002,0.1562
45,185,232,Undirected,1823,0,-0.0385,-0.0324,-0.0497,-0.0477,0.0229,0
46,185,233,Undirected,1823,0.0021,0.0017,0.0066,0.0019,0.0019,0.0702,0.0021
47,185,234,Undirected,1823,0,-0.052,-0.0479,-0.0872,-0.0825,-0.0043,0
48,185,235,Undirected,1823,0.0142,0.0098,0.0159,0.0138,0.0134,0.0825,0.0149
49,185,236,Undirected,1823,0,-0.016,-0.0101,-0.0442,-0.0416,0.0665,0
50,185,237,Undirected,1823,0,-0.1826,-0.1781,-0.16,-0.1598,-0.0906,0
51,185,238,Undirected,1823,6.00E-04,0.0375,0.0437,-1.00E-04,-1.00E-04,0.0735,6.00E-04
52,185,239,Undirected,1823,0.0462,0.0718,0.0718,0.0437,0.0423,0.1026,0.0462
53,185,240,Undirected,1824,0.0708,0.1083,0.1128,0.0649,0.0605,0.1319,0.0712
54,185,241,Undirected,1824,0.0816,-0.0117,-0.0044,0.0822,0.0859,0.1228,0.0854
55,185,242,Undirected,1824,0,-0.0793,-0.0752,-0.0899,-0.0874,-0.0047,0
56,185,244,Undirected,1824,0,-0.0992,-0.0947,-0.1155,-0.1114,-0.0406,0
57,185,245,Undirected,1824,0.0926,0.1288,0.133,0.0798,0.0737,0.1385,0.093
58,185,246,Undirected,1824,0.0233,0.0308,0.0378,0.0152,0.0144,0.0853,0.0233
59,185,247,Undirected,1824,0,-0.0699,-0.0649,-0.0831,-0.0801,-0.0081,0
60,185,250,Undirected,1825,0,-0.096,-0.0895,-0.1158,-0.1104,-0.03,0
61,185,254,Undirected,1825,0,0.0217,0.023,-0.0502,-0.0462,0.0155,0
62,185,255,Undirected,1825,0,-0.0877,-0.0826,-0.126,-0.1184,-0.0417,0
63,185,256,Undirected,1825,0,-0.0386,-0.0337,-0.0645,-0.0614,0.0077,0
64,185,257,Undirected,1825,0,0.0131,0.0129,-0.0511,-0.0482,0.0376,0
65,185,258,Undirected,1825,0,0.0019,0.0076,-0.008,-0.0077,0.0524,0
66,185,259,Undirected,1825,0.0603,0.1316,0.137,0.0554,0.049,0.1496,0.0608
67,185,260,Undirected,1826,0.0471,-0.0019,0.0066,0.0439,0.0437,0.0853,0.0471
68,185,261,Undirected,1826,0.0588,0.1231,0.1273,0.045,0.0402,0.1452,0.0621
69,185,263,Undirected,1826,4.00E-04,0.0165,0.019,-0.0334,-0.0314,0.0405,4.00E-04
70,185,264,Undirected,1826,0.0388,0.022,0.0292,0.0445,0.0439,0.1069,0.0395
71,185,265,Undirected,1826,0.0569,0.1027,0.106,0.0511,0.0475,0.14,0.0569
72,185,266,Undirected,1826,0.033,0.0372,0.0406,0.0303,0.0295,0.0837,0.033
73,185,267,Undirected,1826,0.0231,0.0048,0.0136,0.0086,0.0083,0.0897,0.0231
74,185,268,Undirected,1826,0,-0.1471,-0.1424,-0.0529,-0.0557,-0.0024,0
75,185,270,Undirected,1827,0.0352,0.0304,0.0353,0.0336,0.0329,0.092,0.0352
76,185,271,Undirected,1827,0.0924,0.0949,0.1008,0.0511,0.0472,0.1181,0.0996
77,185,272,Undirected,1827,0.0598,0.1121,0.1159,0.0538,0.0493,0.1411,0.0598
78,185,273,Undirected,1827,0,-0.0683,-0.0664,-0.0626,-0.0621,0.019,0
79,185,274,Undirected,1827,0.0668,0.0427,0.0443,0.0409,0.0404,0.1233,0.071
80,185,275,Undirected,1827,0.0452,0.0675,0.073,0.0421,0.0397,0.1202,0.0452
81,185,276,Undirected,1827,0,-0.0046,0.0046,-0.0251,-0.0235,0.0522,0
82,185,277,Undirected,1827,0.1312,0.1564,0.1594,0.1226,0.116,0.1984,0.1312
83,185,278,Undirected,1827,0.0655,0.1828,0.183,0.0647,0.0562,0.1534,0.0686
84,185,279,Undirected,1827,0.0311,0.0373,0.038,0.0287,0.0284,0.0912,0.0311
85,185,280,Undirected,1828,0.0085,0.0754,0.0812,0.007,0.0063,0.0874,0.0085
86,185,222,Undirected,1822,0.0319,0.0158,0.0222,0.008,0.0076,0.0667,0.0319
87,185,70,Undirected,1870,0.0467,0.1028,0.106,0.0292,0.0264,0.1165,0.0467
88,185,71,Undirected,1871,0,0.0065,0.0128,-0.0077,-0.0073,0.0452,0
89,185,72,Undirected,1872,0.1453,0.1424,0.1469,0.155,0.1529,0.2126,0.1504
90,185,73,Undirected,1873,0,0.1206,0.1211,-0.021,-0.0178,0.0435,0
91,185,76,Undirected,1876,0,0.2266,0.217,-0.1431,-0.0964,-0.3778,0
92,185,75,Undirected,1875,0.0056,0.2142,0.214,0.0041,0.0032,0.0463,0.0056
93,185,74,Undirected,1874,0,0.1497,0.1459,-0.1302,-0.0965,-0.1679,0
94,185,115,Undirected,1811,0,0.0799,0.0792,-0.0883,-0.0741,-0.0971,0
95,185,116,Undirected,1811,0.0211,-0.0132,-0.0089,-0.0148,-0.0144,0.0324,0.0211
96,185,117,Undirected,1811,0.1072,0.1886,0.1899,0.0961,0.0851,0.1645,0.1108
97,185,112,Undirected,1811,0,0.192,0.1871,-0.1248,-0.0875,-0.2317,0
98,185,113,Undirected,1811,0,0.0023,0.0066,-0.068,-0.0623,-0.0041,0
99,185,114,Undirected,1811,0,0.0499,0.0563,-0.0437,-0.0381,0.0329,0
100,185,118,Undirected,1811,0.0814,0.1663,0.1706,0.0689,0.0599,0.1075,0.0814
101,185,126,Undirected,1812,0,0.0478,0.0468,-0.1293,-0.1087,-0.0981,0
102,185,119,Undirected,1811,0,0.0991,0.0994,-0.0713,-0.0595,-0.0381,0
103,185,120,Undirected,1812,0.0283,0.059,0.0623,-0.0231,-0.0208,0.0479,0.0283
104,185,121,Undirected,1812,0,0.1084,0.1087,-0.0461,-0.0389,0.012,0
105,185,125,Undirected,1812,0,0.0936,0.0905,-0.1717,-0.1321,-0.1823,0
106,185,124,Undirected,1812,0,0.2686,0.2635,-0.0519,-0.0345,-0.1227,0
