"id","pop","YearOnly","hatchDoY","lat","lon","Site Name","catchDoY","estimatedAge","mother","father"
"70","M. peelii",2011,"295.771096027768",-35.37,148.98,"Bullen Range"," 314",12.13,,
"71","M. peelii",2011,"295.986906414415",-35.37,148.98,"Bullen Range"," 314",11.91,"Mirri Maz Duur","Qotho"
"72","M. peelii",2011,"296.166748403287",-35.37,148.98,"Bullen Range"," 314",11.73,"Old Nan","Hodor"
"73","M. peelii",2011,"295.267538458925",-35.37,148.98,"Bullen Range"," 314",12.63,"Nymeria Sand","Areo"
"74","M. peelii",2011,"295.807064425542",-35.37,148.98,"Bullen Range"," 314",12.09,"MH11","FH11"
"75","M. peelii",2011,"295.267538458925",-35.37,148.98,"Bullen Range"," 314",12.63,"Old Nan","Hodor"
"76","M. peelii",2011,"295.62722243667",-35.37,148.98,"Bullen Range"," 314",12.27,"MH11","FH11"
"77","M. peelii",2011,"300.800890447797",-35.29,148.96,"Nerreman"," 319",12.45,"MH10","FH10"
"78","M. peelii",2011,"300.441206470052",-35.29,148.96,"Nerreman"," 319",12.81,"MH10","FH10"
"79","M. peelii",2011,"302.239626358777",-35.29,148.96,"Nerreman"," 319",11.01,,
"80","M. peelii",2011,"300.314472492308",-35.52,149.07,"Tharwa Sandwash"," 320",13.17,"Sansa Stark","Tyrion"
"81","M. peelii",2011,"300.49431448118",-35.52,149.07,"Tharwa Sandwash"," 320",12.99,"Arya Stark","Jagen"
"82","M. peelii",2011,"299.77494652569",-35.52,149.07,"Tharwa Sandwash"," 320",13.71,"Margaery Tyrell","Tommen"
"83","M. peelii",2011,"300.674156470052",-35.52,149.07,"Tharwa Sandwash"," 320",12.81,"Sansa Stark","Tyrion"
"84","M. peelii",2011,"300.49431448118",-35.52,149.07,"Tharwa Sandwash"," 320",12.99,"Sansa Stark","Tyrion"
"85","M. peelii",2011,"300.674156470052",-35.52,149.07,"Tharwa Sandwash"," 320",12.81,"Sansa Stark","Tyrion"
"86","M. peelii",2011,"300.134630503435",-35.52,149.07,"Tharwa Sandwash"," 320",13.35,"Sansa Stark","Tyrion"
