"","ind.id","LH","LR"
"1","185",0.0562,0.0636
"2","186",-0.0227,-0.0247
"3","187",0.0676,0.0732
"4","188",0.0115,0.0126
"5","189",0.0825,0.0851
"6","190",-0.0014,-0.0016
"7","191",-0.0606,-0.0641
"8","192",0.0198,0.0219
"9","193",-0.0469,-0.0493
"10","194",0.1044,0.1045
"11","195",0.0515,0.0564
"12","196",-0.0368,-0.0414
"13","197",-0.0024,-0.0026
"14","198",0.156,0.1712
"15","199",0.1551,0.1602
"16","200",0.0379,0.0414
"17","201",0.0075,0.0084
"18","202",0.1548,0.174
"19","203",0.0864,0.0958
"20","204",-0.1011,-0.1137
"21","205",0.0148,0.0156
"22","206",0.1537,0.1649
"23","207",0.0572,0.063
"24","208",0.0621,0.0642
"25","209",0.0059,0.0065
"26","210",0.0399,0.0421
"27","211",0.0144,0.0155
"28","212",0.0324,0.0335
"29","213",0.3291,0.39
"30","214",0.0762,0.0825
"31","215",0.0387,0.041
"32","216",-0.0069,-0.0075
"33","217",-0.0284,-0.0305
"34","218",0.054,0.0612
"35","219",-0.0356,-0.0391
"36","220",0.1759,0.1926
"37","223",-0.0061,-0.0064
"38","224",0.2802,0.3174
"39","225",0.0611,0.0606
"40","226",0.1193,0.1321
"41","227",0.0384,0.0395
"42","228",0.0558,0.0624
"43","229",-0.0432,-0.048
"44","230",0.075,0.0798
"45","231",0.3315,0.3342
"46","232",0.054,0.0583
"47","233",0.0644,0.0678
"48","234",0.0438,0.048
"49","235",0.0892,0.0973
"50","236",0.104,0.1229
"51","237",0.1064,0.1095
"52","238",0.0035,0.0038
"53","239",0.0116,0.0117
"54","240",-0.0091,-0.0097
"55","241",0.23,0.2383
"56","242",0.0813,0.0872
"57","244",0.0516,0.0549
"58","245",-0.0432,-0.0456
"59","246",0.0475,0.0521
"60","247",0.0647,0.0693
"61","250",0.0597,0.0653
"62","254",-0.0594,-0.0614
"63","255",0.0198,0.0214
"64","256",0.026,0.0276
"65","257",-0.0141,-0.0146
"66","258",0.0612,0.066
"67","259",-0.0218,-0.0254
"68","260",0.1073,0.1124
"69","261",-0.014,-0.0161
"70","263",-0.0028,-0.0029
"71","264",0.0967,0.1039
"72","265",0.0371,0.0419
"73","266",0.046,0.0477
"74","267",0.114,0.1312
"75","268",0.2165,0.2203
"76","270",0.0574,0.0597
"77","271",-0.0136,-0.0146
"78","272",-3e-04,-3e-04
"79","273",0.1344,0.1452
"80","274",0.134,0.1452
"81","275",0.065,0.0728
"82","276",0.0457,0.0515
"83","277",0.0462,0.0505
"84","278",-0.1168,-0.1262
"85","279",0.0735,0.0757
"86","280",-0.0232,-0.0258
"87","222",0.0486,0.0517
"88","70",-0.0288,-0.0316
"89","71",-0.0038,-0.0039
"90","72",0.0884,0.0929
"91","73",-0.2183,-0.221
"92","76",-0.9089,-0.6355
"93","75",-0.3978,-0.384
"94","74",-0.5878,-0.492
"95","115",-0.3758,-0.3324
"96","116",0.0295,0.0297
"97","117",-0.1074,-0.1126
"98","112",-0.7282,-0.5674
"99","113",-0.0823,-0.0842
"100","114",-0.1104,-0.1194
"101","118",-0.1964,-0.1955
"102","126",-0.3054,-0.287
"103","119",-0.3171,-0.2943
"104","120",-0.065,-0.0692
"105","121",-0.2313,-0.2314
"106","125",-0.5104,-0.4404
"107","124",-0.721,-0.5853
"108","123",-0.5348,-0.4683
"109","122",-0.1412,-0.1378
"110","134",-0.493,-0.4199
"111","151",-0.3031,-0.3009
"112","157",0.0628,0.0672
"113","156",-0.0162,-0.0169
"114","155",-0.0484,-0.0501
"115","154",-0.046,-0.0532
"116","153",-0.0948,-0.0999
"117","152",-0.0075,-0.0079
"118","158",-0.2671,-0.2543
"119","159",-0.1526,-0.1575
"120","373",-0.7673,-0.5836
"121","109",-0.6909,-0.5547
"122","108",-0.5986,-0.5027
